match_id,tourney_id,tourney_name,tourney_date,match_num,tourney_level,score,minutes,player_id,player_name,player_hand,player_ht,player_ioc,player_age,player_rank,player_rank_points,player_ace,player_df,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_SvGms,player_bpSaved,player_bpFaced,result,opponent_id,opponent_name
2023-1536_A0E2_CG80,2023-1536,Madrid Masters,20230424,94.0,M,6-4 6-3,100.0,A0E2,Carlos Alcaraz,R,183.0,ESP,19.97,2.0,6770.0,4.0,3.0,58.0,38.0,27.0,13.0,9.0,1.0,2.0,1,CG80,Borna Coric
2023-1536_A0E2_CG80,2023-1536,Madrid Masters,20230424,94.0,M,6-4 6-3,100.0,CG80,Borna Coric,R,188.0,CRO,26.439,20.0,1890.0,2.0,2.0,62.0,38.0,23.0,10.0,10.0,2.0,6.0,0,A0E2,Carlos Alcaraz
2023-1536_A0E2_D875,2023-1536,Madrid Masters,20230424,80.0,M,6-2 7-5,90.0,A0E2,Carlos Alcaraz,R,183.0,ESP,19.97,2.0,6770.0,3.0,0.0,51.0,35.0,26.0,12.0,10.0,1.0,2.0,1,D875,Grigor Dimitrov
2023-1536_A0E2_KE29,2023-1536,Madrid Masters,20230424,92.0,M,6-4 7-5,110.0,KE29,Karen Khachanov,R,198.0,RUS,26.924,12.0,2855.0,1.0,0.0,72.0,47.0,30.0,14.0,11.0,3.0,6.0,0,A0E2,Carlos Alcaraz
2023-1536_A0E2_KE29,2023-1536,Madrid Masters,20230424,92.0,M,6-4 7-5,110.0,A0E2,Carlos Alcaraz,R,183.0,ESP,19.97,2.0,6770.0,5.0,1.0,71.0,48.0,37.0,10.0,11.0,4.0,5.0,1,KE29,Karen Khachanov
2023-1536_A0E2_RH24,2023-1536,Madrid Masters,20230424,64.0,M,2-6 6-4 6-2,136.0,A0E2,Carlos Alcaraz,R,183.0,ESP,19.97,2.0,6770.0,10.0,1.0,100.0,69.0,44.0,18.0,13.0,9.0,11.0,1,RH24,Emil Ruusuvuori
2023-1536_A0E2_SL28,2023-1536,Madrid Masters,20230424,95.0,M,6-4 3-6 6-3,145.0,A0E2,Carlos Alcaraz,R,183.0,ESP,19.97,2.0,6770.0,2.0,3.0,91.0,64.0,43.0,15.0,14.0,6.0,8.0,1,SL28,Jan-Lennard Struff
2023-1536_A0E2_Z355,2023-1536,Madrid Masters,20230424,88.0,M,6-1 6-2,82.0,A0E2,Carlos Alcaraz,R,183.0,ESP,19.97,2.0,6770.0,5.0,1.0,41.0,24.0,21.0,12.0,8.0,0.0,0.0,1,Z355,Alexander Zverev
2023-1536_A0E2_Z355,2023-1536,Madrid Masters,20230424,88.0,M,6-1 6-2,82.0,Z355,Alexander Zverev,R,198.0,GER,26.01,16.0,2140.0,3.0,4.0,60.0,40.0,22.0,8.0,7.0,6.0,10.0,0,A0E2,Carlos Alcaraz
2023-1536_A0FC_RH16,2023-1536,Madrid Masters,20230424,56.0,M,6-3 6-4,93.0,RH16,Casper Ruud,R,183.0,NOR,24.337,4.0,5210.0,4.0,2.0,63.0,40.0,26.0,10.0,9.0,6.0,9.0,0,A0FC,Matteo Arnaldi
2023-1536_BD06_HB64,2023-1536,Madrid Masters,20230424,59.0,M,4-6 7-6(5) 6-3,146.0,BD06,Roberto Bautista Agut,R,183.0,ESP,35.025,25.0,1475.0,7.0,1.0,93.0,53.0,38.0,30.0,15.0,3.0,4.0,1,HB64,Quentin Halys
2023-1536_CG04_C0AU,2023-1536,Madrid Masters,20230424,46.0,M,6-1 7-6(6),80.0,C0AU,Francisco Cerundolo,R,185.0,ARG,24.695,30.0,1235.0,2.0,2.0,49.0,29.0,20.0,13.0,9.0,0.0,2.0,0,CG04,Pedro Cachin
2023-1536_CG04_TD51,2023-1536,Madrid Masters,20230424,71.0,M,6-1 7-6(2),81.0,TD51,Frances Tiafoe,R,188.0,USA,25.257,11.0,2870.0,4.0,0.0,51.0,35.0,22.0,6.0,9.0,1.0,4.0,0,CG04,Pedro Cachin
2023-1536_CG80_AE14,2023-1536,Madrid Masters,20230424,91.0,M,6-3 6-3,74.0,CG80,Borna Coric,R,188.0,CRO,26.439,20.0,1890.0,2.0,0.0,46.0,31.0,28.0,9.0,9.0,0.0,0.0,1,AE14,Daniel Altmaier
2023-1536_CG80_DH50,2023-1536,Madrid Masters,20230424,85.0,M,6-7(5) 6-3 7-6(5),208.0,CG80,Borna Coric,R,188.0,CRO,26.439,20.0,1890.0,6.0,2.0,119.0,70.0,54.0,19.0,16.0,11.0,14.0,1,DH50,Alejandro Davidovich Fokina
2023-1536_CG80_G09O,2023-1536,Madrid Masters,20230424,51.0,M,6-3 6-3,81.0,CG80,Borna Coric,R,188.0,CRO,26.439,20.0,1890.0,3.0,0.0,49.0,31.0,24.0,13.0,9.0,0.0,0.0,1,G09O,Hugo Gaston
2023-1536_CG80_HB71,2023-1536,Madrid Masters,20230424,74.0,M,7-6(3) 6-3,97.0,CG80,Borna Coric,R,188.0,CRO,26.439,20.0,1890.0,4.0,1.0,72.0,43.0,37.0,17.0,11.0,3.0,3.0,1,HB71,Hubert Hurkacz
2023-1536_CG80_HB71,2023-1536,Madrid Masters,20230424,74.0,M,7-6(3) 6-3,97.0,HB71,Hubert Hurkacz,R,196.0,POL,26.196,15.0,2660.0,5.0,1.0,60.0,38.0,29.0,14.0,10.0,1.0,2.0,0,CG80,Borna Coric
2023-1536_DH50_R0DG,2023-1536,Madrid Masters,20230424,73.0,M,7-6(1) 5-7 7-6(5),185.0,R0DG,Holger Rune,R,188.0,DEN,19.986,7.0,4070.0,6.0,2.0,113.0,72.0,48.0,26.0,18.0,7.0,10.0,0,DH50,Alejandro Davidovich Fokina
2023-1536_DH58_CF01,2023-1536,Madrid Masters,20230424,36.0,M,6-4 7-6(5),105.0,DH58,Alex de Minaur,R,183.0,AUS,24.181,19.0,1995.0,0.0,1.0,73.0,49.0,40.0,15.0,11.0,7.0,7.0,1,CF01,Marco Cecchinato
2023-1536_FB98_GD64,2023-1536,Madrid Masters,20230424,68.0,M,6-1 7-6(4),91.0,FB98,Taylor Fritz,R,196.0,USA,25.487,10.0,3290.0,10.0,1.0,51.0,33.0,29.0,14.0,10.0,0.0,1.0,1,GD64,Cristian Garin
2023-1536_FB98_O483,2023-1536,Madrid Masters,20230424,40.0,M,7-6(11) 6-4,113.0,FB98,Taylor Fritz,R,196.0,USA,25.487,10.0,3290.0,8.0,1.0,73.0,41.0,34.0,23.0,11.0,2.0,2.0,1,O483,Christopher O'Connell
2023-1536_GF95_K0AH,2023-1536,Madrid Masters,20230424,62.0,M,7-6(5) 7-6(7),138.0,K0AH,Sebastian Korda,R,196.0,USA,22.801,28.0,1390.0,7.0,2.0,86.0,52.0,35.0,17.0,12.0,6.0,9.0,0,GF95,Hugo Grenier
2023-1536_H997_M0EJ,2023-1536,Madrid Masters,20230424,53.0,M,6-4 7-6(3),108.0,M0EJ,Lorenzo Musetti,R,185.0,ITA,21.142,18.0,2065.0,1.0,3.0,75.0,51.0,32.0,11.0,11.0,6.0,10.0,0,H997,Yannick Hanfmann
2023-1536_HB71_G628,2023-1536,Madrid Masters,20230424,52.0,M,6-7(9) 6-4 7-5,144.0,HB71,Hubert Hurkacz,R,196.0,POL,26.196,15.0,2660.0,29.0,4.0,98.0,65.0,54.0,21.0,17.0,3.0,4.0,1,G628,Richard Gasquet
